,date,title,author
2959,"September 13, 1998",Rainbow Six,Tom Clancy
2960,"September 20, 1998",Rainbow Six,Tom Clancy
2961,"September 27, 1998",Rainbow Six,Tom Clancy
2962,"October 4, 1998",Rainbow Six,Tom Clancy
2963,"October 11, 1998",Bag of Bones,Stephen King
2964,"October 18, 1998",Bag of Bones,Stephen King
2965,"October 25, 1998",Bag of Bones,Stephen King
2966,"November 1, 1998",Bag of Bones,Stephen King
2967,"November 8, 1998",The Path of Daggers,Robert Jordan
2968,"November 15, 1998",The Path of Daggers,Robert Jordan
2969,"November 22, 1998",A Man in Full,Tom Wolfe
2970,"November 29, 1998",A Man in Full,Tom Wolfe
2971,"December 6, 1998",A Man in Full,Tom Wolfe
2972,"December 13, 1998",A Man in Full,Tom Wolfe
2973,"December 20, 1998",A Man in Full,Tom Wolfe
