0,1,2,3,4,5,6,7
9.98800163763,0.218289057686,0.193448991291,1.75081579743,280.576391566,0.252006897045,135.838667313,0.19403699525
119.744616004,131.378483787,56.7933499258,187.597790289,82.6081841852,37.2747781074,150.976402681,137.08797598
42.2197973199,120.563459256,133.97745915,109.962349631,7.92050638906,67.0032892082,85.7352126316,9.75249072433
30.9981867307,46.6419786656,35.5751330355,102.580729315,20.0932255699,64.6365551425,57.9165658499,32.6686984059
86.1236267472,150.474834934,78.0666191684,154.675887372,137.55653564,389.597858455,143.409593141,56.9830454018
103.323792077,39.1304545328,53.9263808796,52.0465523621,30.3983875059,72.2688162616,157.230378929,32.5261785611
31.3076571925,23.7874490179,17.4870111225,84.2505743929,57.1941367454,11.5673740782,17.9157721735,152.827770598
199.584742406,48.4476629054,203.771104831,31.1178583259,20.8163475302,525.025246908,244.334583086,316.285928554
98.4570303447,73.9483620353,81.8611850904,105.177538271,49.4572188052,65.1905911508,120.659252868,115.233570128
91.0908101158,231.445228791,124.51810969,225.990613216,131.556518179,110.551413325,155.734402281,209.86672359
88.2852438833,264.922008233,77.7496635711,516.142818755,176.765177444,109.287942891,245.557967715,173.734087946
169.365902253,66.4269420328,58.4769946266,69.5720474848,126.013173439,88.0655538644,126.058597767,79.520416964
38.2902046368,261.514293938,73.311561406,83.8003103182,39.4046690335,87.35471642,63.0061597682,75.1053427167
15.820556354,92.5574311585,61.8866576581,39.8113629308,21.5104687574,218.129840483,25.9670849285,1.25228798662
94.7128461609,82.1957237014,52.5869147637,187.844141922,58.7667411514,84.0561635736,137.357625103,163.23433877
125.712969154,224.271256476,103.13236914,161.335148433,75.5252620661,64.2354626739,187.40835433,175.573721312
4.6708653546,39.5869546307,0.582841248583,68.9838764424,76.9111137848,0.635852877873,36.78076653,140.92813349
21.2996602588,310.223564559,1.5780282315,0.169430566973,1.77510399677,71.0818674455,2.50731992692,13.8886527686
75.8092716407,380.772220656,113.102235313,77.2144825037,245.442396648,11.1017223073,51.1877278914,32.8034404452
67.0775764652,73.9465804227,46.0621927224,118.229526307,84.149989678,39.6449304593,90.6800941645,128.574213719
77.0959343534,33.4303638648,34.5617505669,53.2940556146,38.3893244721,51.4797646571,30.8074365077,73.4712105716
26.9802163846,422.297995952,42.519422459,702.454262418,50.4895033932,25.3220806636,37.9274832638,3.38417480266
109.118883291,186.408981951,16.8128401993,2.95369469728,9.49112445584,1.85322365453,64.1966453468,12.2094550643
13.5056391583,60.4620885058,114.48180483,618.706068764,387.142656916,89.9044625019,46.4454351398,20.5420728468
0.893799403127,10.0386078947,19.340364749,249.428405961,88.4729456359,6.5649260919,20.841975513,8.19889598035
98.488756403,11.4393547268,3.84026335628,26.2061685763,16.9856192836,14.1159381457,57.860727134,209.335068313
47.6615956847,97.8286471751,48.5818506192,159.409277886,73.3158034943,41.6329278965,83.716938688,91.2164729358
20.6043566103,55.5005900544,34.1550873546,84.4510425553,49.2604466714,72.466891887,63.3971131774,50.5914332607
16.7779372573,68.8731415091,90.8752310862,157.148526581,157.244144478,27.239583517,25.9200966625,280.723712671
120.165027903,138.808020109,87.8295345172,51.3266923535,96.4991549018,201.78345772,111.60815855,229.698168337
248.041111793,415.319857292,94.3245601886,474.085010732,576.691399726,230.945650026,277.63637992,682.76100186
143.861080344,98.4482007992,143.88861883,355.632933616,173.671875749,128.085468399,136.807221328,75.333666433
14.445352068,11.0224242894,13.8224183386,99.3245086519,99.7890484992,25.9323282697,20.9394045949,126.346624335
355.064172149,70.6221313265,70.1347170058,504.263678528,188.134734275,136.559784405,109.636638182,297.77922762
62.2454028708,86.5750099434,9.98382150241,27.6478189106,82.1708922462,92.9643275773,287.847962992,494.919600091
14.6213708542,18.9075011796,14.5795820303,148.699193231,142.446289693,4.71645605301,24.4279100735,19.8287309201
23.1216348178,24.2732309386,7.88956544026,175.009913955,97.1410073067,5.06215578913,11.9574742623,46.9647107599
140.232551437,45.9833271532,69.0141871187,342.653358894,139.525054953,65.1720152212,38.3134551551,41.4982007219
77.7437173891,136.66337569,60.0324572437,486.337180959,124.526068636,103.585351706,100.128577552,59.2570364706
138.199833911,2.34425836828,13.8677643717,53.0616772883,64.8040613861,128.369034566,40.5862688437,89.189179866
12.8602861166,10.9320827164,265.963971924,47.7291020682,39.7269818935,46.8274155107,52.8249158949,60.4287453048
24.9733468269,77.0137804142,22.2952320815,26.8566348071,66.813116631,108.567136741,91.8876961757,63.1211374253
111.429751349,78.1700939099,82.9874494363,257.561379084,121.39356413,34.5955966797,38.5595729207,95.5159632795
229.420771758,22.8894421605,274.071304501,399.400815099,134.533496796,118.013690414,14.5893132861,155.229830965
17.3251510327,116.417017841,30.5736651236,328.06197697,23.0731582478,1.8080243388,29.1439979216,11.3634347482
56.4353888186,27.3028355066,97.0520892177,36.8280222349,13.7418866812,146.783846592,10.4472785989,7.76241016155
185.770403236,106.151649665,186.043310302,173.177854086,119.212746337,104.262188262,212.506975123,218.383688986
87.1626838138,52.63640362,166.638904046,36.7572553692,42.2801448065,353.969274235,43.9827691364,4.31186704331
90.1132182269,24.2284363481,37.6419540777,8.96297670046,3.34867895112,176.648213434,30.5103143231,20.314978611
95.3248522052,53.7885558388,51.2961632084,54.3584951395,23.5866559957,21.8827565385,31.4281139645,28.0227666203
103.113741133,27.7411505936,67.094039271,116.468370861,48.8591651666,51.732875471,55.6063915331,64.0836207525
0.487812132896,8.99027146618,1.85169556107,0.642920437842,3.81307911889,735.328397265,8.92610735029,9.74673617843
129.347671622,70.2910246269,30.2406991253,142.537493547,134.797717414,66.1976141787,44.9596341593,29.5528996417
1.31075332435,95.348375065,26.8289054084,6.71313507717,13.8631535689,378.198577648,24.0521942908,10.6595292327
210.534784418,45.7515920142,89.4226935875,220.485506757,64.7883664364,25.7510745422,97.9944775827,45.0294430226
123.395899915,117.11908069,50.5633137467,196.754739082,206.285981929,53.879400674,223.288710435,130.478504168
20.4193128214,12.2306259785,17.9031353802,0.676529124188,564.966752672,61.2183161157,12.6280740558,14.2063905503
175.246504162,544.999918517,105.006169589,1320.29402582,159.1779596,114.733192413,439.506903965,35.9109418791
53.0802500872,25.1769078131,62.2324369058,65.3073222487,26.4071511345,52.0170514926,60.6411151694,83.1809089213
